カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WX25-CD1-13,千鳥ミチル,シグニ,奏武：ブルアカ,緑,1,-,2000,【自】：あなたのアタックフェイズ開始時、このターンにコストか効果によってカードが１枚以上あなたのエナゾーンに置かれていた場合、対戦相手のパワー5000以下のシグニ１体を対象とし、あなたのエナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置いてもよい。そうした場合、それをバニッシュする。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX25-CD1-03,小鳥遊ホシノ(水着)[水上襲撃],ルリグ,ホシノ,緑,2,-,-,―,―,―
WX25-CD1-04,小鳥遊ホシノ(水着)[水上支援],ルリグ,ホシノ,緑,3,-,-,【起】《ターン１回》《緑》《無》：あなたの緑のシグニ１体を対象とし、ターン終了時まで、それは【Ｓランサー】を得る。【起】《ゲーム１回》《緑》《無》：あなたのデッキをシャッフルし一番上のカードをライフクロスに加える。【絆起】《ゲーム１回》《緑×0》：あなたのエナゾーンからシグニを３枚まで対象とし、それらを場に出す。ターン終了時まで、あなたのすべてのシグニのパワーを＋3000する。,―,―
WXDi-D07-021,サーバント　＃,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX25-CD1-22,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX25-CD1-07,いつか至る果てへ,アーツ,-,無,-,《無》×０,-,あなたのデッキの上からカードを４枚見る。その中から＜ブルアカ＞のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。あなたのルリグゾーンに【リミットアッパー】１つを置く。,―,メインフェイズ
WX25-CD1-10,アビドスの夏休み,アーツ,-,緑,-,《緑》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをエナゾーンに置く。《リコレクトアイコン》［４枚以上］代わりに対戦相手のシグニ１体を対象とし、それをエナゾーンに置く。（あなたのルリグトラッシュに４枚以上のアーツがあるかぎり《リコレクトアイコン》［４枚以上］に続く文章が有効になる）,―,アタックフェイズ
WX25-CD1-08,物語の幕開け,アーツ,-,無,-,《無》×０,-,あなたのデッキの上からカードを４枚見る。その中から＜ブルアカ＞のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。好きな生徒１人との絆を獲得する。（カード名１つを宣言する。宣言されたカード名のカードの【絆】能力が有効になる）,―,メインフェイズ
WX24-D5-07,サウザンドアイ・パニッシュ,アーツ,-,黒,-,《黒》×１,-,対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。《リコレクトアイコン》［４枚以上］代わりにターン終了時まで、それのパワーを－20000する。（あなたのルリグトラッシュに４枚以上のアーツがあるかぎり《リコレクトアイコン》［４枚以上］に続く文章が有効になる）,―,アタックフェイズ
WX25-CD1-21,物語の起動,スペル,-,無,-,《無》×１,-,以下の２つから１つを選ぶ。[1]好きな生徒１人との絆を獲得する。（カード名１つを宣言し、その【絆】能力が有効）[2]あなたのデッキの上からカードを５枚見る。その中から＜ブルアカ＞のシグニを１枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。【常】：このカードはすべての領域で＜ブルアカ＞として扱う。,ライフバースト：どちらか１つを選ぶ。[1]好きな生徒１人との絆を獲得する。[2]あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX25-CD1-09,サンクトゥムタワー崩壊,アーツ,-,無,-,《無》×０,-,あなたの場に＜ブルアカ＞のシグニがある場合、対戦相手のルリグかシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。,―,アタックフェイズ
WX24-D5-04,無間地獄の閻魔　ウリス,ルリグ,ウリス,黒,3,-,-,【起】《ターン１回》《黒》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－10000する。【起】《ゲーム１回》《黒×0》：あなたのトラッシュから黒のシグニを２枚まで対象とし、それらを手札に加える。,―,―
WX25-CD1-12,大野ツクヨ,シグニ,奏武：ブルアカ,緑,1,-,3000,【起】《ダウン》：次の対戦相手のターン終了時まで、このシグニのパワーを＋4000し、このシグニは「【自】《ターン１回》：あなたのライフクロス１枚がクラッシュされたとき、あなたのデッキの一番上を公開する。そのカードが＜ブルアカ＞の場合、【エナチャージ１】をする。」を得る。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CD1-16,春日ツバキ,シグニ,奏武：ブルアカ,緑,2,-,8000,【出】手札から＜ブルアカ＞のカードを１枚エナゾーンに置く：次の対戦相手のターン終了時まで、このシグニのパワーを＋4000する。【絆常】：【シャドウ（パワー8000以下のシグニ）】（このシグニは対戦相手のパワー8000以下のシグニによって対象にされない）,ライフバースト：【エナチャージ１】をする。その後、あなたのエナゾーンから＜ブルアカ＞のシグニを１枚まで対象とし、それを手札に加えるか場に出す。,―
WX24-D5-05,ダーク・ウィップ,アーツ,-,黒,-,《黒》×０,-,このターン、あなたの効果によって対戦相手のシグニのパワーが－（マイナス）される場合、代わりに２倍－（マイナス）される。このターン、対戦相手のシグニ１体のパワーが０以下になったとき、対戦相手のデッキの上からカードを２枚トラッシュに置く。,―,メインフェイズ
WX25-CD1-19,小鳥遊ホシノ,シグニ,奏武：ブルアカ,緑,3,-,12000,【自】：あなたのアタックフェイズ開始時、あなたの場にあるすべてのシグニが＜ブルアカ＞の場合、【エナチャージ１】をし、あなたのライフクロスが２枚以下の場合、追加で【エナチャージ１】をする。【自】：このシグニがバトルによってシグニ１体をバニッシュしたとき、対戦相手のパワー3000以下のシグニ１体を対象とし、それをバニッシュする。【絆出】《無》《無》《無》：対戦相手のパワー8000以上のシグニ１体を対象とし、それをバニッシュする。,―,―
WX24-D5-12,凶魔　バフォメット,シグニ,奏像：悪魔,黒,1,-,3000,【常】：あなたのトラッシュにカードが５枚以上あるかぎり、このシグニのパワーは＋4000される。【出】：あなたのデッキの上からカードを３枚トラッシュに置く。,―,―
WX25-CD1-17,砂狼シロコ(水着),シグニ,奏武：ブルアカ,緑,3,-,12000,【出】：あなたの場に他の＜ブルアカ＞のシグニがある場合、このターン、次にあなたが使用するルリグの【起】能力の使用コストは《無》減る。【絆自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、あなたのエナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置いてもよい。そうした場合、ターン終了時まで、それの基本パワーを3000にする。,ライフバースト：どちらか１つを選ぶ。[1]対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。[2]【エナチャージ１】,―
WX25-CD1-14,黒見セリカ,シグニ,奏武：ブルアカ,緑,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたのエナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置いてもよい。そうした場合、ターン終了時まで、このシグニは「【常】：このシグニは正面のシグニのパワーが5000以下であるかぎり、【ランサー】を得る。」を得る。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX24-D5-02,灼熱の閻魔　ウリス,ルリグ,ウリス,黒,1,-,-,―,―,―
WX24-D5-08,ダーク・ベアトラップ,アーツ,-,黒,-,《黒》×１ 《無》×２,-,対戦相手のシグニを２体まで対象とし、ターン終了時まで、それらは「【自】：このシグニがアタックしたとき、ターン終了時まで、このシグニのパワーを－20000する。」を得る。,―,アタックフェイズ
WX25-CD1-20,桑上カホ,シグニ,奏武：ブルアカ,緑,3,-,12000,【自】：あなたのアタックフェイズ開始時、あなたのデッキの一番上を公開する。そのカードが＜ブルアカ＞の場合、【エナチャージ１】をする。【絆出】《緑》《緑》《無》：ターン終了時まで、このシグニのパワーを＋10000し、このシグニは【Ｓランサー】を得る。（【Ｓランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスがある場合はそれを１枚クラッシュする。無い場合は対戦相手にダメージを与える）,ライフバースト：対戦相手のパワー7000以上のシグニ１体を対象とし、それをバニッシュする。,―
WX25-CD1-15,和楽チセ,シグニ,奏武：ブルアカ,緑,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたのエナゾーンに＜ブルアカ＞のカードが３枚以上ある場合、対戦相手のパワー10000以下のシグニ１体を対象とし、《緑》《無》を支払ってもよい。そうした場合、それをバニッシュする。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX25-CD1-18,久田イズナ,シグニ,奏武：ブルアカ,緑,3,-,10000,【出】手札から＜ブルアカ＞のカードを１枚エナゾーンに置く：あなたのエナゾーンから＜ブルアカ＞のカード１枚を対象とし、それを手札に加える。【起】エナゾーンから＜ブルアカ＞のカード２枚をトラッシュに置く：ターン終了時まで、このシグニは「【常】：このシグニは正面のシグニのパワーが12000以上であるかぎり、【アサシン】を得る。」を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える）【絆起】《緑×0》：あなたのエナゾーンからこのカードを場に出す。,―,―
WX24-D5-16,ツヴァイ＝ヒアリ,シグニ,奏武：毒牙,黒,2,-,5000,【常】《自分ターン》：このシグニの正面のシグニのパワーをそのシグニのレベル１につき－1000する。（パワーが０以下のシグニはルールによってバニッシュされる）,―,―
WX24-D5-06,モーメンタリー・パニッシュ,アーツ,-,黒,-,《黒》×０,-,対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。あなたのデッキの上からカードを４枚見る。その中から黒のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。,―,メインフェイズ
WX24-D5-01,閻魔　ウリス,ルリグ,ウリス,黒,0,-,-,―,―,―
WX24-D5-09,ドロー・エンハンス,アーツ,-,無,-,《無》×０,-,カードを２枚引く。あなたのルリグゾーンに【リミットアッパー】１つを置く。,―,メインフェイズ
WX24-D5-03,衆合の閻魔　ウリス,ルリグ,ウリス,黒,2,-,-,―,―,―
WX24-D5-15,凶魔　コスモ,シグニ,奏像：悪魔,黒,2,-,8000,【自】：このシグニがアタックしたとき、対戦相手のデッキの上からカードを２枚トラッシュに置く。あなたのトラッシュに黒のカードが１０枚以上ある場合、代わりに対戦相手のデッキの上からカードを４枚トラッシュに置く。,―,―
WX24-D5-10,ミラクル・チャージング,アーツ,-,無,-,《無》×０,-,カードを３枚引くか【エナチャージ３】をする。,―,アタックフェイズ
WX24-D5-24,コードラビリンス　ムジカ//メモリア,シグニ,奏械：迷宮,黒,3,-,10000,【常】：アタックフェイズの間、このシグニの正面のシグニのパワーを－2000する。【常】：アタックフェイズの間、このシグニの正面のシグニがバニッシュされる場合、エナゾーンに置かれる代わりにトラッシュに置かれる。【自】：このシグニがアタックしたとき、あなたのトラッシュから《ガードアイコン》を持たないシグニを２枚まで対象とし、それらをデッキに加えてもよい。そうした場合、デッキをシャッフルする。,―,―
WX24-D5-13,凶魔　マルファス,シグニ,奏像：悪魔,黒,1,-,3000,【自】：このシグニがバニッシュされたとき、手札から＜悪魔＞のシグニを２枚捨ててもよい。そうした場合、このシグニをエナゾーンからダウン状態で場に出す。,―,―
WX24-D5-18,凶魔　アガレス,シグニ,奏像：悪魔,黒,2,-,8000,【起】《ターン１回》デッキの上からカードを２枚トラッシュに置く：ターン終了時まで、このシグニのパワーを＋2000する。,ライフバースト：あなたのトラッシュから黒のシグニ１枚を対象とし、それを手札に加える。対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－3000する。,―
WX24-D5-14,羅星　ベレニケ,シグニ,奏羅：宇宙,黒,1,-,3000,【常】：あなたのトラッシュにカードが１０枚以上あるかぎり、このシグニのパワーは＋4000される。【自】：このシグニがバニッシュされたとき、あなたか対戦相手のデッキの上からカードを２枚トラッシュに置く。,ライフバースト：あなたのトラッシュから《ガードアイコン》を持たないレベル２以下のシグニ１枚を対象とし、それを手札に加えるか場に出す。,―
WX24-D5-11,凶魔　コオニ,シグニ,奏像：悪魔,黒,1,-,2000,【出】手札から黒のカードを１枚捨てる：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－3000する。このターンにあなたが黒のアーツを使用していた場合、代わりにターン終了時まで、それのパワーを－5000する。,―,―
WX24-D5-26,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX24-D2-07,烈覇二絡,アーツ,-,赤,-,《赤》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。《リコレクトアイコン》［４枚以上］代わりに対戦相手のシグニ１体を対象とし、それをバニッシュする。（あなたのルリグトラッシュに４枚以上のアーツがあるかぎり《リコレクトアイコン》［４枚以上］に続く文章が有効になる）,―,アタックフェイズ
WX24-D5-21,幻竜姫　ドラゴンメイド,シグニ,奏生：龍獣,黒,3,-,10000,【自】：いずれかのプレイヤーがリフレッシュしたとき、対戦相手のシグニ１体を対象とし、《黒》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－10000する。【自】：このシグニがアタックしたとき、あなたか対戦相手のデッキの上からカードを４枚トラッシュに置く。,―,―
WX24-D5-19,凶魔　ベルゼ,シグニ,奏像：悪魔,黒,3,-,10000,【自】：あなたのアタックフェイズ開始時、あなたのトラッシュに黒のカードが１５枚以上ある場合、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。【出】《黒》：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。,―,―
WX24-D5-20,凶魔姫　メツメ,シグニ,奏像：悪魔,黒,3,-,12000,【自】：あなたのアタックフェイズ開始時、対戦相手のデッキの上からカードを３枚トラッシュに置く。《リコレクトアイコン》［５枚以上］代わりに対戦相手のデッキの上からカードを５枚トラッシュに置く。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、ターン終了時まで、それのパワーを－15000する。②カードを１枚引く。,―
WX24-D5-17,中装　バックラー,シグニ,奏武：アーム,黒,2,-,10000,―,ライフバースト：対戦相手のシグニ１体を対象とし、《無》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－15000する。（パワーが０以下のシグニはルールによってバニッシュされる）,―
WX24-D5-22,凶天姫　タマ//メモリア,シグニ,奏像：天使,黒,3,-,10000,【常】：あなたのトラッシュにカードが１０枚以上あるかぎり、このシグニのパワーは＋3000され、このシグニは【シャドウ（レベル２以下のシグニ）】を得る。（このシグニは対戦相手のレベル２以下のシグニによって対象にされない）【常】：あなたの、場とエナゾーンにあるシグニは追加で黒を得る。【自】《ターン１回》：あなたのメインフェイズ以外であなたの黒のシグニ１体が場を離れたとき、対戦相手のデッキの上からカードを２枚トラッシュに置く。,ライフバースト：対戦相手のレベル２以下のシグニ１体を対象とし、それをバニッシュする。,―
WX24-D5-23,凶魔姫　ウリス//メモリア,シグニ,奏像：悪魔,黒,3,-,10000,【自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、手札から＜悪魔＞のシグニを２枚捨ててもよい。そうした場合、ターン終了時まで、それのパワーを－12000する。【出】《無》：あなたのトラッシュから《凶魔姫 ウリス//メモリア》以外の＜悪魔＞のシグニ１枚を対象とし、それを手札に加える。,―,―
WX24-D2-04,百火繚乱　花代・参,ルリグ,花代,赤,3,-,-,【起】《ターン１回》《赤》：対戦相手のパワー10000以下のシグニ１体を対象とし、それをバニッシュする。【起】《ゲーム１回》《赤×0》：あなたのシグニ１体を対象とし、ターン終了時まで、それは【アサシン】を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える）,―,―
WX24-D2-02,花代・壱,ルリグ,花代,赤,1,-,-,―,―,―
WX24-D2-12,羅寂石　ルリル,シグニ,奏羅：宝石,赤,1,-,7000,【出】：あなたの場に他の＜宝石＞のシグニがない場合、あなたは手札を１枚捨てる。（コストのない【出】能力は発動しないことを選べない）,ライフバースト：対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。,―
WX24-D2-09,ドロー・エンハンス,アーツ,-,無,-,《無》×０,-,カードを２枚引く。あなたのルリグゾーンに【リミットアッパー】１つを置く。,―,メインフェイズ
WX24-D2-06,焼石火炎,アーツ,-,赤,-,《赤》×０,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。あなたのデッキの上からカードを４枚見る。その中から赤のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。,―,メインフェイズ
WX24-D2-08,炎盾両面,アーツ,-,赤,-,《赤》×１ 《無》×２,-,対戦相手のパワー20000以下のシグニを２体まで対象とし、ターン終了時まで、それらは「【常】：アタックできない。」を得る。,―,アタックフェイズ
WX24-D2-03,花代・爾,ルリグ,花代,赤,2,-,-,―,―,―
WX24-D2-13,羅石　ヘソナイト,シグニ,奏羅：宝石,赤,1,-,2000,【自】《相手ターン》《ターン１回》：このシグニが対戦相手の、能力か効果の対象になったとき、対戦相手は自分のエナゾーンからカード１枚を選びトラッシュに置く。,―,―
WX24-D2-05,断炎轢断,アーツ,-,赤,-,《赤》×１,-,対戦相手のライフクロス１枚をクラッシュする。,―,メインフェイズ
WX24-D2-15,羅闘石　ブロンダ,シグニ,奏羅：宝石,赤,2,-,5000,【自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX24-D2-10,ミラクル・チャージング,アーツ,-,無,-,《無》×０,-,カードを３枚引くか【エナチャージ３】をする。,―,アタックフェイズ
WX24-D2-01,花代・零,ルリグ,花代,赤,0,-,-,―,―,―
WX24-D2-16,紅魔　デカラビア,シグニ,奏像：悪魔,赤,2,-,10000,―,ライフバースト：対戦相手のシグニ１体を対象とし、《無》を支払ってもよい。そうした場合、それをバニッシュする。,―
WX24-D4-06,樹木堕絡,アーツ,-,緑,-,《緑》×０,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをエナゾーンに置く。あなたのデッキの上からカードを４枚見る。その中から緑のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。,―,メインフェイズ
WX24-D2-18,羅踊石　ガーネット,シグニ,奏羅：宝石,赤,2,-,8000,【常】：このシグニがダウン状態であるかぎり、このシグニのパワーは＋4000される。【起】《ダウン》：対戦相手のエナゾーンからカード１枚を対象とし、それをトラッシュに置く。そうした場合、対戦相手は【エナチャージ１】をしてもよい。,ライフバースト：対戦相手のパワー12000以下のシグニ１体を対象とし、手札を１枚捨ててもよい。そうした場合、それをバニッシュする。,―
WX24-D5-25,ホール・ダークネス,スペル,-,黒,-,《黒》×１,-,対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－7000する。《リコレクトアイコン》［５枚以上］追加で対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、ターン終了時まで、それのパワーを－15000する。,―
WX24-D2-22,羅輝石　アレキサンドライト,シグニ,奏羅：宝石,赤,3,-,10000,【自】：あなたの他のシグニ１体が【アサシン】１つか【ランサー】１つか【ダブルクラッシュ】１つを得たとき、《赤》《無》を支払ってもよい。そうした場合、ターン終了時まで、このシグニはその能力を得る。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②カードを１枚引く。,―
WX24-D2-14,コードアート　ララ・ルー//フェゾーネ,シグニ,奏械：電機,赤,1,-,2000,【自】：あなたのアタックフェイズ開始時、あなたの場にあるすべてのシグニが赤の場合、対戦相手のパワー5000以下のシグニ１体を対象とし、手札から赤のカードを１枚捨ててもよい。そうした場合、それをバニッシュする。,―,―
WX24-D2-23,羅婚石　ダイヤブライド,シグニ,奏羅：宝石,赤,3,-,12000,【自】《ターン１回》：あなたの赤のシグニ１体が対戦相手の、能力か効果の対象になったとき、対戦相手は自分のエナゾーンからカード１枚を選びトラッシュに置く。【出】手札を１枚捨てる：あなたのデッキの上からカードを２枚見る。その中からカード１枚を手札に加え、残りをトラッシュに置く。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②カードを１枚引く。,―
WX24-D2-20,羅輝石　ヴォルカノ,シグニ,奏羅：宝石,赤,3,-,10000,【出】《赤》《赤》：対戦相手のパワー12000以下のシグニ１体を対象とし、それをバニッシュする。《リコレクトアイコン》［５枚以上］代わりに対戦相手のシグニ１体を対象とし、それをバニッシュする。（あなたのルリグトラッシュに５枚以上のアーツがあるかぎり《リコレクトアイコン》［５枚以上］に続く文章が有効になる）,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②カードを１枚引く。,―
WX24-D2-17,中装　バルディッシュ,シグニ,奏武：アーム,赤,2,-,8000,【自】：あなたのアタックフェイズ開始時、あなたの場にレベル３のシグニが２体以上ある場合、《赤》《赤》を支払ってもよい。そうした場合、ターン終了時まで、このシグニは「【自】：このシグニがアタックしたとき、対戦相手のパワー12000以下のシグニ１体を対象とし、それをバニッシュする。」を得る。,―,―
WX24-D2-19,羅闘石　シルバン,シグニ,奏羅：宝石,赤,3,-,10000,【自】《ターン１回》：対戦相手のシグニ１体がバニッシュされたとき、【エナチャージ１】をする。,―,―
WX24-D2-24,幻竜歌姫　オロチ,シグニ,奏生：龍獣,赤,3,-,12000,【自】：あなたのアタックフェイズ開始時、対戦相手のエナゾーンにカードが４枚以上ある場合、対戦相手は自分のエナゾーンからカード１枚を選びトラッシュに置く。【自】：このシグニがアタックしたとき、対戦相手のエナゾーンにカードが２枚以上ある場合、対戦相手は自分のエナゾーンからカード１枚を選びトラッシュに置く。,―,―
WX24-D2-26,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX24-D2-21,羅輝石　花代//メモリア,シグニ,奏羅：宝石,赤,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたのエナゾーンにカードが無い場合、次の対戦相手のターン終了時まで、このシグニの基本レベルは３になり、基本パワーは12000になる。【自】：あなたのアタックフェイズ開始時、このシグニのレベル以下の対戦相手のシグニ１体を対象とし、手札から赤のカードか＜宝石＞のシグニを合計２枚捨ててもよい。そうした場合、それをバニッシュする。,―,―
WX24-D2-11,羅闘石　アイロン,シグニ,奏羅：宝石,赤,1,-,2000,【自】：このシグニがアタックしたとき、このターンにあなたが赤のアーツを使用していた場合、対戦相手のパワー2000以下のシグニ１体を対象とし、それをバニッシュする。,―,―
WX24-D4-01,闘娘　緑姫,ルリグ,緑子,緑,0,-,-,―,―,―
WX24-D2-25,轟音の炎柱,スペル,-,赤,-,《赤》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。《リコレクトアイコン》［５枚以上］代わりに対戦相手のパワー10000以下のシグニ１体を対象とし、それをバニッシュする。,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。,―
WX24-D4-04,三式戦帝女　緑姫,ルリグ,緑子,緑,3,-,-,【起】《ターン１回》《緑》手札から緑のシグニを１枚捨てる：あなたのシグニ１体を対象とし、ターン終了時まで、それのパワーを＋3000し、それは【ランサー】を得る。【起】《ゲーム１回》《緑×0》：【エナチャージ２】をする。その後、あなたのエナゾーンからカードを２枚まで対象とし、それらを手札に加える。,―,―
WX24-D4-03,二ノ娘　緑姫,ルリグ,緑子,緑,2,-,-,―,―,―
WX24-D4-02,一ノ娘　緑姫,ルリグ,緑子,緑,1,-,-,―,―,―
WX24-D4-08,守破離,アーツ,-,緑,-,《緑》×１ 《無》×２,-,対戦相手のルリグとシグニを合計２体まで対象とし、このターン、それらがそれぞれ次にアタックしたとき、そのアタックを無効にする。,―,アタックフェイズ
WX24-D4-09,ドロー・エンハンス,アーツ,-,無,-,《無》×０,-,カードを２枚引く。あなたのルリグゾーンに【リミットアッパー】１つを置く。,―,メインフェイズ
WX24-D4-14,幻獣　緑子//フェゾーネ,シグニ,奏生：地獣,緑,1,-,3000,【常】：あなたのエナゾーンに緑のカードが３枚以上あるかぎり、このシグニのパワーは＋4000される。【自】：このシグニがアタックしたとき、各プレイヤーは【エナチャージ１】をする。,―,―
WX24-D4-05,再四再五,アーツ,-,緑,-,《緑》×０,-,対戦相手のパワー10000以上のシグニ１体を対象とし、それをバニッシュする。あなたのエナゾーンからカードを３枚まで対象とし、それらを手札に加える。,―,メインフェイズ
WX24-D4-07,付洋雷同,アーツ,-,緑,-,《緑》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをエナゾーンに置く。《リコレクトアイコン》［４枚以上］代わりに対戦相手のシグニ１体を対象とし、それをエナゾーンに置く。（あなたのルリグトラッシュに４枚以上のアーツがあるかぎり《リコレクトアイコン》［４枚以上］に続く文章が有効になる）,―,アタックフェイズ
WX24-D4-13,翠将　バーバリアン,シグニ,奏像：武勇,緑,1,-,3000,【常】：このシグニは各ターンに一度しかアタックできない。【出】《緑》：ターン終了時まで、このシグニは「【常】：このシグニは正面のシグニのパワーが3000以下であるかぎり、【ランサー】を得る。」を得る。（【ランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）,―,―
WX24-D4-10,ミラクル・チャージング,アーツ,-,無,-,《無》×０,-,カードを３枚引くか【エナチャージ３】をする。,―,アタックフェイズ
WX24-D4-11,幻闘獣　コゲンブ,シグニ,奏生：地獣,緑,1,-,2000,【自】：このシグニがアタックしたとき、このターンにあなたが緑のアーツを使用していた場合、【エナチャージ１】をする。,―,―
WX24-D4-16,コードメイズ　アクフク,シグニ,奏械：迷宮,緑,2,-,10000,―,ライフバースト：【エナチャージ１】をする。このターン、あなたは対戦相手のレベル３以下のシグニによってダメージを受けない。,―
WX24-D4-19,幻闘獣　ビグタット,シグニ,奏生：地獣,緑,3,-,10000,【自】：あなたのアタックフェイズ開始時、【エナチャージ１】をする。【出】：あなたのシグニ１体を対象とし、ターン終了時まで、それのパワーを＋5000する。,―,―
WX24-D4-18,爆砲　WOLF//メモリア,シグニ,奏武：ウェポン,緑,2,-,8000,【常】：このシグニは覚醒状態であるかぎり、「【自】：あなたのターン終了時、【エナチャージ１】をする。」を得る。【自】：このシグニがバトルによって対戦相手のシグニ１体をバニッシュしたとき、このシグニは覚醒する。（シグニは覚醒すると場にあるかぎり覚醒状態になる）,―,―
WX24-D4-12,幻獣　タスマニアン,シグニ,奏生：地獣,緑,1,-,5000,―,ライフバースト：対戦相手のパワー7000以上のシグニ１体を対象とし、それをバニッシュする。,―
WX24-D4-21,羅菌姫　アミノサン,シグニ,奏羅：微菌,緑,3,-,12000,【常】：このシグニのパワーが対戦相手の効果によって－（マイナス）される場合、代わりに＋（プラス）される。【常】《自分ターン》：あなたの他のシグニのパワーを＋5000する。,ライフバースト：【エナチャージ１】をする。このターン、次にあなたがシグニからダメージを受ける場合、代わりにダメージを受けない。,―
